category,nom,type,niveau,original_image_url
consommables,Bouteille de Cocalane,Boisson,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/79178.w40h40.png
consommables,Parchemin de Diamant,Parchemin d'expérience,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171663.w40h40.png
consommables,Poitrine de Glourson fumée,Viande comestible,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69147.w40h40.png
consommables,Poitrine de Glourséleste fumée,Viande comestible,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69148.w40h40.png
consommables,Serviette égarée,Objet utilisable,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/55130.w40h40.png
consommables,Bavette de Bléro au Frostiz,Viande comestible,Niv. 190,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69145.w40h40.png
consommables,Bavette de Xa au Frostiz,Viande comestible,Niv. 190,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69146.w40h40.png
consommables,Bifstèque de Givrefoux,Viande comestible,Niv. 180,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69142.w40h40.png
consommables,Bifstèque de Tengu Givrefoux,Viande comestible,Niv. 180,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69144.w40h40.png
consommables,Chair de Mansot Royal grillée,Viande comestible,Niv. 170,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69141.w40h40.png
consommables,Entrecôte de Crocodaille ****,Viande comestible,Niv. 170,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170892.w40h40.png
consommables,Entrecôte de Crocodaille **,Viande comestible,Niv. 170,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170890.w40h40.png
consommables,Cuisse de Royalmouth rôtie,Viande comestible,Niv. 150,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69138.w40h40.png
consommables,Entrecôte de Kanigrou ****,Viande comestible,Niv. 140,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171378.w40h40.png
consommables,Filet de Koalak,Viande comestible,Niv. 120,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69133.w40h40.png
consommables,Carré de viande cuit,Viande comestible,Niv. 120,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69139.w40h40.png
consommables,Chair de Mansot grillée,Viande comestible,Niv. 120,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69140.w40h40.png
consommables,Salade de Museau ***,Viande comestible,Niv. 120,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69129.w40h40.png
consommables,Potion Bulbique,Potion,Niv. 110,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12023.w40h40.png
consommables,Plat de Filtounga,Viande comestible,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69136.w40h40.png
consommables,Plume Vibrante de mansot,Objet utilisable,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94020.w40h40.png
consommables,Cuisse de Boufmouth rôtie,Viande comestible,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69137.w40h40.png
consommables,Potion Raide Rêve,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12721.w40h40.png
consommables,Essence de forêt,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12726.w40h40.png
consommables,Pain Tahde,Pain,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33022.w40h40.png
consommables,Potion Étoilée,Potion,Niv. 100,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12722.w40h40.png
