nom,type,niveau,image_url
Cuir d'Empaillé,Cuir,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/56667.w40h40.png
Stapes de Frimar,Os,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/47810.w40h40.png
Patte de Termystique,Patte,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/103718.w40h40.png
Bractée de Drosérâle,Plante,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/36639.w40h40.png
Broderie de Nileza,Vêtement,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/164012.w40h40.png
Bec de Mansordide,Os,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/47817.w40h40.png
Plume de Sinistro,Plume,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/53657.w40h40.png
Clef du Donjon du Comte Harebourg,Clef,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/84723.w40h40.png
Essence de Glourséleste,Essence de gardien de donjon,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170645.w40h40.png
Essence de Klime,Essence de gardien de donjon,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170645.w40h40.png
Écharpe de Hanshi,Vêtement,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171425.w40h40.png
Clef du Dojo du vent,Clef,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171444.w40h40.png
Chitine de Pandogorgo,Ressources diverses,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171667.w40h40.png
Corne d'Onirakam,Os,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172515.w40h40.png
Perruque de Yukisamara,Poil,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172516.w40h40.png
Perle de Katamashii,Ressources diverses,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172521.w40h40.png
Résidu fantomatique,Etoffe,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172522.w40h40.png
Peau de Moon,Peau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/59613.w40h40.png
Cuir de Grodruche,Cuir,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/56665.w40h40.png
Etoffe de Cuirassé,Etoffe,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/55737.w40h40.png
Cuir de Peunch,Cuir,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/56666.w40h40.png
Incisive de Stalak,Os,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/47807.w40h40.png
Incus de Verglasseur,Os,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/47809.w40h40.png
Culotte de Missiz Frizz,Vêtement,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/164011.w40h40.png
Plume de Dodox,Plume,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/53655.w40h40.png
Bec de Strigide,Os,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/47822.w40h40.png
Scapula du Comte Harebourg,Os,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/47824.w40h40.png
Clef de la Forgefroide de Missiz Frizz,Clef,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/84719.w40h40.png
Clef du Transporteur de Sylargh,Clef,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/84720.w40h40.png
Semelle de Klime,Viande,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/63398.w40h40.png
Blanc de Harebourg,Viande,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/63402.w40h40.png
Viande de Sylargh Conservée,Viande conservée,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/64412.w40h40.png
Racine cristalline,Racine,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/98671.w40h40.png
Pointe osseuse de Grasmera,Os,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/47826.w40h40.png
Poil de Délégoule,Poil,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170308.w40h40.png
Essence de Shihan et Hanshi,Essence de gardien de donjon,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170645.w40h40.png
Essence de Missiz Frizz,Essence de gardien de donjon,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170645.w40h40.png
Essence de Nileza,Essence de gardien de donjon,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170645.w40h40.png
Essence de Comte Harebourg,Essence de gardien de donjon,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170645.w40h40.png
Tige de Bambouto,Plante,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171418.w40h40.png
Piques à cheveux de Shihan,Ressources diverses,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171428.w40h40.png
Clef de la Bambusaie de Damadrya,Clef,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171446.w40h40.png
Tronc de Tromplosion,Ressources diverses,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171669.w40h40.png
Essence de Damadrya,Essence de gardien de donjon,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170645.w40h40.png
Clef du Sanctuaire des Âmes Égarées,Clef,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172494.w40h40.png
Madura miniature,Ressources diverses,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172519.w40h40.png
