item_id,item_name,item_slug,category,has_recipe,job,job_level,ingredient_id,ingredient_name,ingredient_type,quantity
15753,Crocouteaux,crocouteaux,armes,True,Forgeur,100.0,11522,Fragment de pépite de Sakaï,Pierre brute,40.0
15753,Crocouteaux,crocouteaux,armes,True,Forgeur,100.0,12740,Galet brasillant,Galet,3.0
15753,Crocouteaux,crocouteaux,armes,True,Forgeur,100.0,13916,Etoffe de Cuirassé,Etoffe,38.0
15753,Crocouteaux,crocouteaux,armes,True,Forgeur,100.0,13923,Moustache de Klime,Poil,8.0
15753,Crocouteaux,crocouteaux,armes,True,Forgeur,100.0,15259,Tourmaline,Pierre précieuse,12.0
15753,Crocouteaux,crocouteaux,armes,True,Forgeur,100.0,15748,Orbe irisé,Pierre précieuse,58.0
15753,Crocouteaux,crocouteaux,armes,True,Forgeur,100.0,15750,Andésite,Pierre brute,25.0
15753,Crocouteaux,crocouteaux,armes,True,Forgeur,100.0,17578,Nectar vivifiant,Ressources diverses,3.0
6439,Baguette Irréelle,baguette-irreelle,armes,True,Sculpteur,40.0,350,Argent,Minerai,40.0
6439,Baguette Irréelle,baguette-irreelle,armes,True,Sculpteur,40.0,479,Ivoire,Os,15.0
6439,Baguette Irréelle,baguette-irreelle,armes,True,Sculpteur,40.0,2551,Oreille de Kanigrou,Oreille,20.0
6439,Baguette Irréelle,baguette-irreelle,armes,True,Sculpteur,40.0,6736,Bourgeon de Fourbasse,Bourgeon,22.0
6439,Baguette Irréelle,baguette-irreelle,armes,True,Sculpteur,40.0,15430,Dent de Cuirhacher,Os,25.0
7040,Arc de Kuri,arc-kuri,armes,True,Sculpteur,20.0,467,Rubis,Pierre précieuse,1.0
7040,Arc de Kuri,arc-kuri,armes,True,Sculpteur,20.0,532,Seigle,Céréale,30.0
7040,Arc de Kuri,arc-kuri,armes,True,Sculpteur,20.0,2599,Pic de Dragodinde,Os,10.0
7040,Arc de Kuri,arc-kuri,armes,True,Sculpteur,20.0,17060,Herbe Folle,Plante,15.0
6453,Arc du Pêcheur,arc-pecheur,armes,True,Sculpteur,40.0,594,Edelweiss,Fleur,30.0
6453,Arc du Pêcheur,arc-pecheur,armes,True,Sculpteur,40.0,2556,Pollen de Blop,Ressources diverses,12.0
6453,Arc du Pêcheur,arc-pecheur,armes,True,Sculpteur,40.0,6480,Osier Sombre,Ressources diverses,16.0
6453,Arc du Pêcheur,arc-pecheur,armes,True,Sculpteur,40.0,7662,Planche en Oliviolet,Planche,2.0
6453,Arc du Pêcheur,arc-pecheur,armes,True,Sculpteur,40.0,8730,Coccyx du Corailleur,Os,16.0
6509,Marteau R'Ticolis,marteau-r-ticolis,armes,True,Forgeur,60.0,465,Cristal,Pierre précieuse,8.0
6509,Marteau R'Ticolis,marteau-r-ticolis,armes,True,Forgeur,60.0,6458,Kobalite,Alliage,12.0
6509,Marteau R'Ticolis,marteau-r-ticolis,armes,True,Forgeur,60.0,8076,Boomerang du Maître Koalak,Ressources diverses,36.0
6509,Marteau R'Ticolis,marteau-r-ticolis,armes,True,Forgeur,60.0,13366,Galet Lunaire,Galet,3.0
6509,Marteau R'Ticolis,marteau-r-ticolis,armes,True,Forgeur,60.0,13718,Cendres de Tofutoflamme,Poudre,32.0
6509,Marteau R'Ticolis,marteau-r-ticolis,armes,True,Forgeur,60.0,13724,Patte de Tofu Dodu,Patte,32.0
6981,Dagues Lassay,dagues-lassay,armes,True,Forgeur,100.0,749,Bakélélite,Alliage,5.0
6981,Dagues Lassay,dagues-lassay,armes,True,Forgeur,100.0,7027,Topaze,Pierre précieuse,6.0
6981,Dagues Lassay,dagues-lassay,armes,True,Forgeur,100.0,7035,Pyrute,Alliage,5.0
6981,Dagues Lassay,dagues-lassay,armes,True,Forgeur,100.0,7665,Planche en Bambou Sacré,Planche,2.0
6981,Dagues Lassay,dagues-lassay,armes,True,Forgeur,100.0,11309,Pince du Fancrôme,Os,51.0
6981,Dagues Lassay,dagues-lassay,armes,True,Forgeur,100.0,15259,Tourmaline,Pierre précieuse,8.0
6981,Dagues Lassay,dagues-lassay,armes,True,Forgeur,100.0,16242,Canine de Félygiène,Os,56.0
6981,Dagues Lassay,dagues-lassay,armes,True,Forgeur,100.0,16820,Essence de Skeunk,Essence de gardien de donjon,1.0
60,Epée d'Ha,epee,armes,True,Forgeur,1.0,442,Bronze,Minerai,8.0
60,Epée d'Ha,epee,armes,True,Forgeur,1.0,443,Kobalte,Minerai,4.0
7202,Sabre Sandanwa,sabre-sandanwa,armes,True,Forgeur,40.0,445,Manganèse,Minerai,40.0
