nom,type,niveau,image_url
Coiffe Ranshi,Chapeau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/16359.w40h40.png
Anneau Cryochrone,Anneau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/9271.w40h40.png
Anneau du Cycloïde,Anneau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/9272.w40h40.png
Amulette du Strigide,Amulette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1235.w40h40.png
Ceinture du Strigide,Ceinture,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/10244.w40h40.png
Bottes du Nocturlabe,Bottes,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/11242.w40h40.png
Cape Lati,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/17269.w40h40.png
Cape Ovri,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/17270.w40h40.png
Bottes Hyum,Bottes,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170729.w40h40.png
Couronne Shushuveraine,Chapeau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170736.w40h40.png
Tongues du Shushuverain,Bottes,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170735.w40h40.png
Collier des Abîmes,Amulette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170870.w40h40.png
Cape des Justiciers,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170898.w40h40.png
Casque Psychokinèse,Chapeau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171187.w40h40.png
Bouclier Viscéral,Bouclier,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170474.w40h40.png
Bottes des égarés,Bottes,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171038.w40h40.png
Anneauraeus,Anneau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171096.w40h40.png
Anneau crustique,Anneau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171097.w40h40.png
Voilamibe,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171112.w40h40.png
Amulette de Shokkoth,Amulette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171114.w40h40.png
Boutures,Bottes,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171523.w40h40.png
Amulette Rinne,Amulette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172140.w40h40.png
Bottes Lunaires,Bottes,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172146.w40h40.png
Chapeau de Gein,Chapeau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172155.w40h40.png
Ceinture de Gein,Ceinture,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172156.w40h40.png
Couvre-chef du ménestrel Vive-Griffe,Chapeau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172171.w40h40.png
Dofus Tâcheté,Dofus,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/23008.w40h40.png
Ceinture Séculaire,Ceinture,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/10243.w40h40.png
Cape du Sinistrofu,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/17268.w40h40.png
Amulette du Sinistrofu,Amulette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1232.w40h40.png
Amulette Cryochrone,Amulette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1233.w40h40.png
Amulette du Nocturlabe,Amulette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1236.w40h40.png
Ceinture du Nocturlabe,Ceinture,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/10245.w40h40.png
Cape Oflère,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170727.w40h40.png
Le Dorado,Chapeau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170726.w40h40.png
Cape de Meno,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170758.w40h40.png
Bottes Péremptoires,Bottes,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171147.w40h40.png
Masque de Funespadon,Chapeau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171025.w40h40.png
Anneau des égarés,Anneau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171037.w40h40.png
Cape luminescente,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171118.w40h40.png
Cacture,Ceinture,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171151.w40h40.png
Capterre,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171153.w40h40.png
Scaramouchapeau,Chapeau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171194.w40h40.png
Bulbouclier,Bouclier,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171510.w40h40.png
Capistil,Cape,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171511.w40h40.png
Diadème de Wulan,Chapeau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172135.w40h40.png
Sangle Icisme,Ceinture,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172141.w40h40.png
Talisman Igans,Amulette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172149.w40h40.png
