category,nom,type,niveau,original_image_url,local_url
armes,Marteau Goule,Marteau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170315.w40h40.png,images/170315.w40h40.png
armes,Izusu la pelle Endormie,Arme Légendaire,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171725.w40h40.png,images/171725.w40h40.png
armes,Serpe Aigrie,Pelle,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172160.w40h40.png,images/172160.w40h40.png
armes,Hache Euvale,Hache,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19066.w40h40.png,images/19066.w40h40.png
armes,Arc Honte,Arc,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2075.w40h40.png,images/2075.w40h40.png
armes,Dagues Sacrificielles,Dague,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170756.w40h40.png,images/170756.w40h40.png
armes,Épée du Bandit Spectral,Épée,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171091.w40h40.png,images/171091.w40h40.png
armes,Épouvante,Épée,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171092.w40h40.png,images/171092.w40h40.png
armes,Lance corrompue,Bâton,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171093.w40h40.png,images/171093.w40h40.png
armes,Épée du Roas'Inge,Épée,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171148.w40h40.png,images/171148.w40h40.png
armes,Nun-Charang,Bâton,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171519.w40h40.png,images/171519.w40h40.png
armes,Haruka l'arc Endormi,Arme Légendaire,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171750.w40h40.png,images/171750.w40h40.png
armes,Miyaji le marteau Endormi,Arme Légendaire,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171730.w40h40.png,images/171730.w40h40.png
armes,Hache Ériphe,Hache,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19065.w40h40.png,images/19065.w40h40.png
armes,Sceptre du Shushuverain,Baguette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170724.w40h40.png,images/170724.w40h40.png
armes,Harpelle,Pelle,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170871.w40h40.png,images/170871.w40h40.png
armes,Marteau Submergé,Marteau,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171094.w40h40.png,images/171094.w40h40.png
armes,Arc de Koutoulou,Arc,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171088.w40h40.png,images/171088.w40h40.png
armes,Bâton de Hanshi,Bâton,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171521.w40h40.png,images/171521.w40h40.png
armes,Éventails de Shihan,Dague,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171522.w40h40.png,images/171522.w40h40.png
armes,Suko l'épée Endormie,Arme Légendaire,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171735.w40h40.png,images/171735.w40h40.png
armes,Doleau de Ragnaroche,Hache,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172124.w40h40.png,images/172124.w40h40.png
armes,Dagues Érhy,Dague,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5087.w40h40.png,images/5087.w40h40.png
armes,Pelle de la Corporation,Pelle,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170663.w40h40.png,images/170663.w40h40.png
armes,Kinuro le bâton Endormi,Arme Légendaire,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171755.w40h40.png,images/171755.w40h40.png
armes,Momako les dagues Endormies,Arme Légendaire,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171760.w40h40.png,images/171760.w40h40.png
armes,Numezawa la baguette Endormie,Arme Légendaire,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171740.w40h40.png,images/171740.w40h40.png
armes,Arc de Wulan,Arc,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172136.w40h40.png,images/172136.w40h40.png
armes,Lame Usicke,Hache,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19038.w40h40.png,images/19038.w40h40.png
armes,Faux Maudite du Saigneur Guerrier,Faux,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/22003.w40h40.png,images/22003.w40h40.png
armes,Epée Maudite du Saigneur Guerrier,Épée,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6083.w40h40.png,images/6083.w40h40.png
armes,Épée du Granduk,Épée,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6721.w40h40.png,images/6721.w40h40.png
armes,Arc corrompu,Arc,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170635.w40h40.png,images/170635.w40h40.png
armes,Tranche Goule,Épée,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170644.w40h40.png,images/170644.w40h40.png
armes,Crocouteaux,Hache,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170725.w40h40.png,images/170725.w40h40.png
armes,Sceptre du Roi Allister,Bâton,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170873.w40h40.png,images/170873.w40h40.png
armes,Baguette Range,Baguette,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171089.w40h40.png,images/171089.w40h40.png
armes,Heiji la hache Endormie,Arme Légendaire,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171745.w40h40.png,images/171745.w40h40.png
armes,Tonfas de Barbéryl,Dague,Niv. 200,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172164.w40h40.png,images/172164.w40h40.png
armes,Pelle Vice,Pelle,Niv. 199,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8068.w40h40.png,images/8068.w40h40.png
armes,Epée Gloursonne,Épée,Niv. 199,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6111.w40h40.png,images/6111.w40h40.png
armes,Masse Ossiale,Marteau,Niv. 199,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7728.w40h40.png,images/7728.w40h40.png
armes,Dagues Ricol,Dague,Niv. 198,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5086.w40h40.png,images/5086.w40h40.png
armes,Bâtonnet Ronien,Baguette,Niv. 198,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3080.w40h40.png,images/3080.w40h40.png
armes,Rapière aux Glyphes,Épée,Niv. 197,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6722.w40h40.png,images/6722.w40h40.png
armes,Dague Hirr,Dague,Niv. 197,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5081.w40h40.png,images/5081.w40h40.png
armes,Canne Harr,Bâton,Niv. 197,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4114.w40h40.png,images/4114.w40h40.png
armes,Marteau de Barbéryl,Marteau,Niv. 197,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172161.w40h40.png,images/172161.w40h40.png
armes,Bêche Asse,Pelle,Niv. 197,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8067.w40h40.png,images/8067.w40h40.png
armes,Épée d'Otomaï,Épée,Niv. 196,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6719.w40h40.png,images/6719.w40h40.png
armes,Dagoulinantes,Dague,Niv. 196,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171090.w40h40.png,images/171090.w40h40.png
armes,Epée Toche,Épée,Niv. 196,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6106.w40h40.png,images/6106.w40h40.png
armes,Arc Ahique,Arc,Niv. 196,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2071.w40h40.png,images/2071.w40h40.png
armes,Marteau du Glouragan,Marteau,Niv. 195,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7080.w40h40.png,images/7080.w40h40.png
armes,Bâton Brageut,Bâton,Niv. 195,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4102.w40h40.png,images/4102.w40h40.png
armes,Rouleau à Pâtisserie d'Aermyne,Bâton,Niv. 194,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4113.w40h40.png,images/4113.w40h40.png
armes,Pelle Fik,Pelle,Niv. 194,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8060.w40h40.png,images/8060.w40h40.png
armes,Marteau d'Henual,Marteau,Niv. 194,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7727.w40h40.png,images/7727.w40h40.png
armes,Bâton Beau,Bâton,Niv. 194,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4115.w40h40.png,images/4115.w40h40.png
armes,Baguette Hique,Baguette,Niv. 193,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3077.w40h40.png,images/3077.w40h40.png
armes,Hache Rot,Hache,Niv. 192,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19067.w40h40.png,images/19067.w40h40.png
armes,Grésilosceptre,Bâton,Niv. 192,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4094.w40h40.png,images/4094.w40h40.png
armes,Bâton Champmanique,Bâton,Niv. 191,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4080.w40h40.png,images/4080.w40h40.png
armes,Pelle Emélaka,Pelle,Niv. 191,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8051.w40h40.png,images/8051.w40h40.png
armes,Pelle du Professeur Xa,Pelle,Niv. 191,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8063.w40h40.png,images/8063.w40h40.png
armes,Hache Téroïde,Hache,Niv. 190,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19063.w40h40.png,images/19063.w40h40.png
armes,Hache du Korriandre,Hache,Niv. 188,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19061.w40h40.png,images/19061.w40h40.png
armes,Bâton Brelle,Bâton,Niv. 188,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4100.w40h40.png,images/4100.w40h40.png
armes,Couteaux à Champignons,Dague,Niv. 187,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5069.w40h40.png,images/5069.w40h40.png
armes,Marteau Reine,Marteau,Niv. 187,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7081.w40h40.png,images/7081.w40h40.png
armes,Baguette Hernelle,Baguette,Niv. 187,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3076.w40h40.png,images/3076.w40h40.png
armes,Rhizome du Tynril,Bâton,Niv. 186,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4077.w40h40.png,images/4077.w40h40.png
armes,Arc Oleptik,Arc,Niv. 185,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2060.w40h40.png,images/2060.w40h40.png
armes,Hache Hélème,Hache,Niv. 185,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19064.w40h40.png,images/19064.w40h40.png
armes,Baguetterelle,Baguette,Niv. 184,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3066.w40h40.png,images/3066.w40h40.png
armes,Epée Loponèze,Épée,Niv. 184,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6085.w40h40.png,images/6085.w40h40.png
armes,Arc Hétype,Arc,Niv. 184,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2073.w40h40.png,images/2073.w40h40.png
armes,Epée Kari,Épée,Niv. 184,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6105.w40h40.png,images/6105.w40h40.png
