monster_id,monster_name,drop_kind,item_id,item_name,item_category,item_type,item_level,probability,probability_text,condition,item_url,item_image_url
839,Abominable Yiti des Neiges,conditioned,12152,Clef de la Maison du Papa Nowel,ressources,,180,1.0,0 - 1 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/12152-clef-maison-papa-nowel,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/84268.w48h48.png
839,Abominable Yiti des Neiges,conditioned,12151,Clef de la Caverne de Nowel,ressources,,110,1.5,0 - 1.5 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/12151-clef-caverne-nowel,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/84267.w48h48.png
384,Aboub,normal,13729,Papier Charbon,ressources,,41,19.0,19 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/13729-papier-charbon,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15816.w48h48.png
384,Aboub,conditioned,323,Amulette du Kam Assutra,equipements,,43,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/323-amulette-kam-assutra,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1004.w48h48.png
2384,Aboudbra le Porteur,normal,13729,Papier Charbon,ressources,,41,19.0,19 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/13729-papier-charbon,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15816.w48h48.png
2384,Aboudbra le Porteur,conditioned,323,Amulette du Kam Assutra,equipements,,43,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/323-amulette-kam-assutra,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1004.w48h48.png
2385,Abrakadnuzar,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2385,Abrakadnuzar,normal,792,Sève d'Abraknyde,ressources,,44,9.0,9 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/792-seve-abraknyde,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15162.w48h48.png
2385,Abrakadnuzar,normal,463,Ambre,ressources,,43,19.0,19 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/463-ambre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/50096.w48h48.png
2385,Abrakadnuzar,conditioned,17518,Abranneau,equipements,,40,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/17518-abranneau,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/9011.w48h48.png
