monster_id,monster_slug,name,type,level,pv_min,pv_max,zones,res_neutral_min,res_neutral_max,res_earth_min,res_earth_max,res_fire_min,res_fire_max,res_water_min,res_water_max,res_air_min,res_air_max,image_url,url
839,abominable-yiti-neiges,Abominable Yiti des Neiges,Monstres de Nowel,120,2900,4600,Terre de Nowel | Taïga de Nowel,20,28,15,19,15,19,-19,-15,-19,-15,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/839.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/839-abominable-yiti-neiges
384,aboub,Aboub,Monstres du Village des Dopeuls,35,320,520,Entraînement des Dopeuls | Village des Dopeuls,0,40,5,25,5,25,5,25,5,25,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/384.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/384-aboub
2384,aboudbra-porteur,Aboudbra le Porteur,Archi-monstres,35,650,1000,,10,50,15,35,15,35,15,35,15,35,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2384.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2384-aboudbra-porteur
2385,abrakadnuzar,Abrakadnuzar,Archi-monstres,40,880,1400,,20,28,-10,-2,30,38,1,5,20,24,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2385.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2385-abrakadnuzar
2388,abrakanette-encapsule,Abrakanette l'Encapsulé,Archi-monstres,78,2900,3600,,33,53,33,53,-4,0,34,54,25,33,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2388.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2388-abrakanette-encapsule
2389,abrakildas-venerable,Abrakildas le Vénérable,Archi-monstres,74,2200,2800,,30,38,37,45,8,16,37,45,8,16,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2389.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2389-abrakildas-venerable
2544,abrakine-sombre,Abrakine le Sombre,Archi-monstres,125,5100,6500,,11,15,11,15,11,15,-9,-1,29,37,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2544.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2544-abrakine-sombre
2386,abraklette-fondant,Abraklette le Fondant,Archi-monstres,80,3000,3700,,30,38,-10,-2,38,46,1,5,30,34,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2386.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2386-abraklette-fondant
4593,abrakleur-clair,Abrakleur Clair,Monstres de Quête diverses,150,3400,3900,,5,13,35,43,-5,-1,1,5,-43,-35,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4593.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4593-abrakleur-clair
1047,abrakleur-clair,Abrakleur Clair,Monstres de l'Arbre Hakam,150,3400,3900,Tronc de l'arbre Hakam,5,13,35,43,-5,-1,1,5,-43,-35,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/1047.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/1047-abrakleur-clair
1077,abrakleur-sombre,Abrakleur Sombre,Monstres de la Jungle Obscure,125,2600,3300,Jungle obscure,1,5,1,5,1,5,-19,-11,19,27,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/1077.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/1077-abrakleur-sombre
4525,abrakne,Abrakne,Monstres de Quête diverses,40,440,680,,10,18,-20,-12,20,28,-9,-5,10,14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4525.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4525-abrakne
650,abrakne,Abrakne,Abraknydiens,40,440,680,Orée de la forêt des Abraknydes,10,18,-20,-12,20,28,-9,-5,10,14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/650.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/650-abrakne
651,abrakne-sombre,Abrakne Sombre,Abraknydiens,80,1500,1900,Forêt des Abraknydes,20,28,-20,-12,28,36,-9,-5,20,24,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/651.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/651-abrakne-sombre
992,abrakne-sombre-irascible,Abrakne Sombre Irascible,Abraknydiens,128,3200,3700,Forêt des Abraknydes Sombres,20,28,-20,-12,28,36,-9,-5,20,24,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/992.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/992-abrakne-sombre-irascible
47,abraknyde,Abraknyde,Abraknydiens,38,440,690,La forêt d'Amakna | Bord de la forêt maléfique | Orée de la forêt des Abraknydes,4,20,5,25,-20,-4,5,25,-20,-4,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/47.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/47-abraknyde
173,abraknyde-ancestral,Abraknyde Ancestral,Abraknydiens,90,3600,5400,,30,30,30,30,-5,-5,30,30,-5,-5,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/173.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/173-abraknyde-ancestral
2771,abraknyde-invoque,Abraknyde invoqué,Abraknydiens,23,390,920,,14,30,15,35,-10,6,15,35,-10,6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2771.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2771-abraknyde-invoque
989,abraknyde-irascible,Abraknyde Irascible,Abraknydiens,41,130,170,,20,28,27,35,-2,6,27,35,-2,6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/989.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/989-abraknyde-irascible
919,abraknyde-malade,Abraknyde Malade,Abraknydiens,39,460,460,,20,20,25,25,-20,-20,25,25,-20,-20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/919.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/919-abraknyde-malade
253,abraknyde-sombre,Abraknyde Sombre,Abraknydiens,78,1400,1800,Forêt des Abraknydes,15,20,5,10,10,15,10,15,-10,-5,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/253.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/253-abraknyde-sombre
4585,abraknyde-sombre,Abraknyde Sombre,Monstres de Quête diverses,78,1400,1800,,15,20,5,10,10,15,10,15,-10,-5,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4585.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4585-abraknyde-sombre
991,abraknyde-sombre-irascible,Abraknyde Sombre Irascible,Abraknydiens,120,2400,2800,Forêt des Abraknydes Sombres,23,43,23,43,-14,-10,24,44,15,23,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/991.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/991-abraknyde-sombre-irascible
254,abraknyde-venerable,Abraknyde Vénérable,Abraknydiens,74,1100,1400,Forêt des Abraknydes,10,14,15,19,-10,-6,10,14,5,9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/254.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/254-abraknyde-venerable
